time,potential_global
0.000000000000000000e+00,4.790798553805747417e+01
1.010101010101010083e-01,5.170358186898517516e+01
2.020202020202020166e-01,5.533511064076105157e+01
3.030303030303030387e-01,5.860047459653091551e+01
4.040404040404040331e-01,6.141481346694227028e+01
5.050505050505050830e-01,6.380777937099006891e+01
6.060606060606060774e-01,6.588105316337917827e+01
7.070707070707070718e-01,6.776166006891010340e+01
8.080808080808080662e-01,6.957231192032924127e+01
9.090909090909090606e-01,7.142041512103757839e+01
1.010101010101010166e+00,7.339869533438583460e+01
1.111111111111111160e+00,7.559051760015687194e+01
1.212121212121212155e+00,7.807549758883943980e+01
1.313131313131313149e+00,8.093251695998947071e+01
1.414141414141414144e+00,8.423683228135811873e+01
1.515151515151515138e+00,8.804521731291407605e+01
1.616161616161616132e+00,9.235716469114724703e+01
1.717171717171717127e+00,9.702956498244637373e+01
1.818181818181818121e+00,1.016085597603566697e+02
1.919191919191919116e+00,1.050563703849661437e+02
2.020202020202020332e+00,1.055396546716625608e+02
2.121212121212121104e+00,1.010222854374367216e+02
2.222222222222222321e+00,9.134393289266485283e+01
2.323232323232323093e+00,7.939735231420763739e+01
2.424242424242424310e+00,6.859474466051287322e+01
2.525252525252525082e+00,6.037901455760233915e+01
2.626262626262626299e+00,5.460113034428320589e+01
2.727272727272727071e+00,5.065167759550483595e+01
2.828282828282828287e+00,4.799621815817325654e+01
2.929292929292929060e+00,4.627630928368321150e+01
3.030303030303030276e+00,4.527510214165886993e+01
3.131313131313131048e+00,4.486692124962674910e+01
3.232323232323232265e+00,4.497746722510736106e+01
3.333333333333333481e+00,4.555495819126934265e+01
3.434343434343434254e+00,4.654892886381382056e+01
3.535353535353535470e+00,4.789540612729499713e+01
3.636363636363636243e+00,4.950958682686401602e+01
3.737373737373737459e+00,5.128789549349575339e+01
3.838383838383838231e+00,5.311942001738329822e+01
3.939393939393939448e+00,5.490290588781365244e+01
4.040404040404040664e+00,5.656251903772056977e+01
4.141414141414140992e+00,5.805625040070364662e+01
4.242424242424242209e+00,5.937496416420537315e+01
4.343434343434343425e+00,6.053458779777047027e+01
4.444444444444444642e+00,6.156592517835461820e+01
4.545454545454544970e+00,6.250576561752674820e+01
4.646464646464646187e+00,6.339098328936572813e+01
4.747474747474747403e+00,6.425565381593148118e+01
4.848484848484848619e+00,6.513040718399187767e+01
4.949494949494949836e+00,6.604310837966029624e+01
5.050505050505050164e+00,6.702016230368820970e+01
5.151515151515151381e+00,6.808802109721504792e+01
5.252525252525252597e+00,6.927471057813852440e+01
5.353535353535353813e+00,7.061134540875592336e+01
5.454545454545454142e+00,7.213366812356542823e+01
5.555555555555555358e+00,7.388362077125924543e+01
5.656565656565656575e+00,7.591080796954679499e+01
5.757575757575757791e+00,7.827335337733356369e+01
5.858585858585858119e+00,8.103686317974644737e+01
5.959595959595959336e+00,8.426859364050649503e+01
6.060606060606060552e+00,8.802082210288381248e+01
6.161616161616161769e+00,9.229141293628167375e+01
6.262626262626262097e+00,9.693917772636116581e+01
6.363636363636363313e+00,1.015178878010290191e+02
6.464646464646464530e+00,1.050050849450094859e+02
6.565656565656565746e+00,1.055832770812543657e+02
6.666666666666666963e+00,1.012001317824476416e+02
6.767676767676767291e+00,9.162191475716311118e+01
6.868686868686868507e+00,7.968435252102327127e+01
6.969696969696969724e+00,6.882785373878988366e+01
7.070707070707070940e+00,6.054728024887484139e+01
7.171717171717171269e+00,5.471718174283434877e+01
7.272727272727272485e+00,5.073039547287157092e+01
7.373737373737373701e+00,4.804846708584693715e+01
7.474747474747474918e+00,4.630889694031147741e+01
7.575757575757575246e+00,4.529202379550961410e+01
7.676767676767676463e+00,4.487048246684630470e+01
7.777777777777777679e+00,4.496910518644575205e+01
7.878787878787878896e+00,4.553584082562404234e+01
7.979797979797979224e+00,4.652039355212457394e+01
8.080808080808081328e+00,4.785923868777046408e+01
8.181818181818181657e+00,4.946809413231448360e+01
8.282828282828281985e+00,5.124373759021313646e+01
8.383838383838384090e+00,5.307524407221458063e+01
8.484848484848484418e+00,5.486091906410548091e+01
8.585858585858586522e+00,5.652417512641739705e+01
8.686868686868686851e+00,5.802215820754607023e+01
8.787878787878787179e+00,5.934500802701184341e+01
8.888888888888889284e+00,6.050816415949882554e+01
8.989898989898989612e+00,6.154218459825578691e+01
9.090909090909089940e+00,6.248379769882905777e+01
9.191919191919192045e+00,6.336992063503328154e+01
9.292929292929292373e+00,6.423471149719294715e+01
9.393939393939394478e+00,6.510887943970152492e+01
9.494949494949494806e+00,6.602034248965347274e+01
9.595959595959595134e+00,6.699552378069401470e+01
9.696969696969697239e+00,6.806085627777642344e+01
9.797979797979797567e+00,6.924430973240116316e+01
9.898989898989899672e+00,7.057690591477620501e+01
1.000000000000000000e+01,7.209425623223401658e+01
