time,potential_global
0.000000000000000000e+00,1.343420143675355405e+01
1.005025125628140753e-01,1.384929610266655153e+01
2.010050251256281506e-01,1.427031550411841643e+01
3.015075376884422398e-01,1.469236403855100370e+01
4.020100502512563012e-01,1.510931393041627402e+01
5.025125628140704181e-01,1.551369370054747776e+01
6.030150753768844796e-01,1.589665509115975617e+01
7.035175879396985410e-01,1.624806826138357252e+01
8.040201005025126024e-01,1.655680280480591904e+01
9.045226130653266639e-01,1.681125280899542673e+01
1.005025125628140836e+00,1.700012053096984133e+01
1.105527638190954898e+00,1.711343791791368929e+01
1.206030150753768959e+00,1.714371240205164781e+01
1.306532663316583021e+00,1.708700676294082044e+01
1.407035175879397082e+00,1.694371382460558806e+01
1.507537688442211143e+00,1.671880961972227908e+01
1.608040201005025205e+00,1.642147236900434137e+01
1.708542713567839266e+00,1.606411571158788831e+01
1.809045226130653328e+00,1.566103578912147931e+01
1.909547738693467389e+00,1.522696064812974193e+01
2.010050251256281673e+00,1.477577269054837217e+01
2.110552763819095734e+00,1.431958801577965801e+01
2.211055276381909795e+00,1.386825173673540590e+01
2.311557788944723857e+00,1.342921161409491759e+01
2.412060301507537918e+00,1.300767031330916268e+01
2.512562814070351980e+00,1.260690321881127396e+01
2.613065326633166041e+00,1.222864359311241778e+01
2.713567839195980103e+00,1.187346559536115542e+01
2.814070351758794164e+00,1.154112404805748326e+01
2.914572864321608225e+00,1.123083362260111784e+01
3.015075376884422287e+00,1.094148448234814808e+01
3.115577889447236348e+00,1.067180082760825144e+01
3.216080402010050410e+00,1.042045187479351753e+01
3.316582914572864471e+00,1.018612570223885605e+01
3.417085427135678533e+00,9.967575558774528943e+00
3.517587939698492594e+00,9.763646367304755103e+00
3.618090452261306655e+00,9.573287541427708547e+00
3.718592964824120717e+00,9.395556829478110217e+00
3.819095477386934778e+00,9.229618556755294634e+00
3.919597989949748840e+00,9.074738383268869057e+00
4.020100502512563345e+00,8.930276361714339473e+00
4.120603015075377407e+00,8.795679243365297495e+00
4.221105527638191468e+00,8.670472820624301136e+00
4.321608040201005529e+00,8.554254571322744027e+00
4.422110552763819591e+00,8.446686781560698520e+00
4.522613065326633652e+00,8.347490436662864610e+00
4.623115577889447714e+00,8.256439830198120333e+00
4.723618090452261775e+00,8.173357839725060359e+00
4.824120603015075837e+00,8.098111855388838265e+00
4.924623115577889898e+00,8.030610302526010713e+00
5.025125628140703959e+00,7.970799707803132073e+00
5.125628140703518021e+00,7.918662236956277134e+00
5.226130653266332082e+00,7.874213649997671816e+00
5.326633165829146144e+00,7.837501613385731147e+00
5.427135678391960205e+00,7.808604321355879563e+00
5.527638190954774267e+00,7.787629378752694898e+00
5.628140703517588328e+00,7.774712900997520215e+00
5.728643216080402389e+00,7.770018791501898114e+00
5.829145728643216451e+00,7.773738159294408590e+00
5.929648241206030512e+00,7.786088841602959221e+00
6.030150753768844574e+00,7.807314997384245281e+00
6.130653266331658635e+00,7.837686738012572540e+00
6.231155778894472697e+00,7.877499760512701954e+00
6.331658291457286758e+00,7.927074946623856810e+00
6.432160804020100819e+00,7.986757887348346685e+00
6.532663316582914881e+00,8.056918287118463695e+00
6.633165829145728942e+00,8.137949193838466044e+00
6.733668341708543004e+00,8.230265990217571215e+00
6.834170854271357065e+00,8.334305067228536146e+00
6.934673366834171127e+00,8.450522081229680182e+00
7.035175879396985188e+00,8.579389671067692902e+00
7.135678391959799249e+00,8.721394478856431931e+00
7.236180904522613311e+00,8.877033276324223010e+00
7.336683417085427372e+00,9.046807945532165718e+00
7.437185929648241434e+00,9.231218995946671058e+00
7.537688442211055495e+00,9.430757216554763289e+00
7.638190954773869557e+00,9.645892958986452825e+00
7.738693467336683618e+00,9.877062422514789830e+00
7.839195979899497679e+00,1.012465016184769162e+01
7.939698492462311741e+00,1.038896686254869017e+01
8.040201005025126690e+00,1.067022122807919260e+01
8.140703517587940752e+00,1.096848460311225359e+01
8.241206030150754813e+00,1.128364673486563774e+01
8.341708542713568875e+00,1.161536087724495481e+01
8.442211055276382936e+00,1.196297632457564930e+01
8.542713567839196998e+00,1.232545651198194747e+01
8.643216080402011059e+00,1.270128118095562364e+01
8.743718592964825120e+00,1.308833199843822825e+01
8.844221105527639182e+00,1.348376274601394620e+01
8.944723618090453243e+00,1.388385817144027712e+01
9.045226130653267305e+00,1.428389029170439883e+01
9.145728643216081366e+00,1.467798777847078284e+01
9.246231155778895427e+00,1.505904315621633494e+01
9.346733668341709489e+00,1.541869323939165959e+01
9.447236180904523550e+00,1.574741842718303886e+01
9.547738693467337612e+00,1.603481194438877111e+01
9.648241206030151673e+00,1.627006436749792329e+01
9.748743718592965735e+00,1.644268491379695973e+01
9.849246231155779796e+00,1.654342872964402389e+01
9.949748743718593857e+00,1.656534204900144758e+01
1.005025125628140792e+01,1.650474929964574855e+01
1.015075376884422198e+01,1.636197754615708533e+01
1.025125628140703604e+01,1.614161858966773266e+01
1.035175879396985010e+01,1.585221945913784580e+01
1.045226130653266416e+01,1.550543022420927919e+01
1.055276381909547823e+01,1.511477744349208407e+01
1.065326633165829229e+01,1.469431537940976540e+01
1.075376884422110635e+01,1.425740757361789868e+01
1.085427135678392041e+01,1.381581715566941959e+01
1.095477386934673447e+01,1.337918251256866142e+01
1.105527638190954853e+01,1.295485097923742046e+01
1.115577889447236259e+01,1.254798919437633664e+01
1.125628140703517666e+01,1.216186605637860474e+01
1.135678391959799072e+01,1.179821381752385889e+01
1.145728643216080478e+01,1.145759754528349816e+01
1.155778894472361884e+01,1.113974943009159446e+01
1.165829145728643290e+01,1.084384770075845417e+01
1.175879396984924696e+01,1.056873523893221645e+01
1.185929648241206102e+01,1.031308181994556072e+01
1.195979899497487509e+01,1.007549889427677670e+01
1.206030150753768915e+01,9.854616720769708849e+00
1.216080402010050321e+01,9.649133064661674197e+00
1.226130653266331727e+01,9.457841338335970960e+00
1.236180904522613133e+01,9.279644420082549416e+00
1.246231155778894539e+01,9.113558914220211804e+00
1.256281407035175945e+01,8.958713344694162473e+00
1.266331658291457352e+01,8.814342695158536856e+00
1.276381909547738758e+01,8.679781032133826457e+00
1.286432160804020164e+01,8.554453307897681213e+00
1.296482412060301570e+01,8.437867055166595520e+00
1.306532663316582976e+01,8.329604434155493564e+00
1.316582914572864382e+01,8.229314867733725336e+00
1.326633165829145788e+01,8.136708390808179203e+00
1.336683417085427195e+01,8.051549743140602899e+00
1.346733668341708601e+01,7.973653206316821063e+00
1.356783919597990007e+01,7.902878140912957150e+00
1.366834170854271413e+01,7.839125165262728068e+00
1.376884422110552819e+01,7.782332911537830356e+00
1.386934673366834225e+01,7.732475296229055495e+00
1.396984924623115631e+01,7.689559244348417089e+00
1.407035175879397038e+01,7.653622807275730189e+00
1.417085427135678444e+01,7.624733619902222870e+00
1.427135678391959850e+01,7.602987647656496151e+00
1.437185929648241256e+01,7.588508178123524850e+00
1.447236180904522662e+01,7.581445015928761855e+00
1.457286432160804068e+01,7.581973842905387784e+00
1.467336683417085474e+01,7.590295708191335144e+00
1.477386934673366881e+01,7.606636614818461872e+00
1.487437185929648287e+01,7.631247170463853813e+00
1.497487437185929693e+01,7.664402270259672356e+00
1.507537688442211099e+01,7.706400778788761841e+00
1.517587939698492505e+01,7.757565176465077705e+00
1.527638190954773911e+01,7.818241132180757447e+00
1.537688442211055317e+01,7.888796959083808069e+00
1.547738693467336724e+01,7.969622903215652698e+00
1.557788944723618130e+01,8.061130204946190148e+00
1.567839195979899536e+01,8.163749860002333492e+00
1.577889447236180942e+01,8.277930989523726524e+00
1.587939698492462348e+01,8.404138705913767993e+00
1.597989949748743754e+01,8.542851331961362149e+00
1.608040201005025338e+01,8.694556793193338962e+00
1.618090452261306567e+01,8.859747955787145912e+00
1.628140703517588150e+01,9.038916622434863157e+00
1.638190954773869379e+01,9.232545823828363751e+00
1.648241206030150963e+01,9.441099952639003590e+00
1.658291457286432191e+01,9.665012167007752453e+00
1.668341708542713775e+01,9.904668372538662169e+00
1.678391959798995003e+01,1.016038691378870418e+01
1.688442211055276587e+01,1.043239293684297664e+01
1.698492462311557816e+01,1.072078618120944249e+01
1.708542713567839400e+01,1.102550075072131719e+01
1.718592964824120628e+01,1.134625522983132129e+01
1.728643216080402212e+01,1.168249137866627052e+01
